HSNS1	HSNS2	HSNS3	HSNS4	HSNS5	HSNS6	HSNS7	HSNS8	HSNS9	HSNS10	DDP1	DDP2	DDP3	DDP4	DDN1	DDN2	DDN3	DDN4	DDM1	DDM2	DDM3	DDM4	age	gender	accuracy	country
2	4	5	1	4	5	4	3	3	2	1	1	4	4	2	1	1	1	1	2	2	1	37	2	98	PT
4	2	2	4	3	4	4	5	4	3	4	4	2	4	3	2	2	3	4	4	4	3	34	3	95	PL
5	5	5	4	2	5	5	4	4	2	2	2	2	4	4	2	4	3	3	4	4	2	22	2	80	AU
4	1	2	2	4	5	2	2	5	2	4	2	4	0	5	5	4	1	4	2	3	4	24	1	99	US
5	3	4	5	5	5	4	5	4	3	4	3	4	4	4	2	5	2	4	4	1	5	21	2	90	US
4	2	2	3	1	2	4	2	4	1	1	2	1	4	4	4	3	1	2	4	2	1	26	2	95	US
4	4	4	2	3	3	4	3	4	2	3	2	3	3	4	4	2	3	4	4	4	1	35	2	60	US
4	1	4	4	5	5	3	4	1	4	5	1	5	4	4	4	1	1	3	3	1	1	20	1	60	US
4	3	3	2	3	4	3	3	4	3	2	2	3	2	3	4	3	2	2	2	3	1	46	1	85	DE
4	2	2	1	2	4	2	2	3	3	2	1	4	4	4	2	2	1	2	4	4	2	23	1	100	US
5	5	4	3	0	5	5	5	5	5	4	5	5	5	1	1	3	3	5	5	1	4	20	1	80	US
5	2	5	5	5	5	3	5	5	1	5	4	5	5	5	5	5	5	5	5	4	5	17	1	100	KR
5	5	5	5	4	5	5	5	5	2	5	4	5	4	5	5	5	5	5	5	4	4	17	1	95	US
2	2	4	3	4	5	3	4	3	4	4	3	4	5	1	1	1	4	4	4	4	3	15	2	98	US
5	1	2	4	5	5	3	4	4	5	5	2	3	4	5	2	5	3	3	3	3	4	19	1	88	ZA
3	1	4	1	3	3	2	5	4	4	4	4	5	5	1	1	1	1	1	1	1	1	16	1	100	US
2	2	3	3	3	4	2	2	2	2	3	3	4	4	4	2	3	2	4	4	2	2	15	2	70	US
5	5	5	1	5	5	5	5	5	5	1	1	5	1	1	1	1	1	1	1	1	1	53	1	6	US
4	4	2	4	4	4	4	5	5	4	3	4	4	4	5	5	4	4	4	4	4	4	21	1	100	NZ
4	5	5	2	2	4	4	1	4	1	1	1	1	2	2	2	1	1	1	1	2	1	23	1	85	AU
4	2	4	2	4	5	2	2	4	2	2	3	4	4	3	3	2	2	4	4	4	4	21	2	70	RO
4	3	3	3	4	4	4	3	4	3	4	1	4	4	2	2	2	2	1	3	2	2	30	1	75	US
2	1	1	3	4	5	2	2	4	4	4	5	4	4	4	4	4	4	4	5	4	4	21	1	85	US
2	3	3	2	1	5	2	1	2	1	1	1	2	2	5	4	1	1	4	4	4	2	19	1	95	US
4	2	5	1	1	1	4	5	2	1	2	1	1	2	4	4	1	2	3	4	2	1	23	2	87	US
2	1	2	1	3	2	2	2	4	1	1	2	3	2	4	3	3	2	2	2	4	1	27	1	95	US
1	4	2	3	5	4	4	4	3	5	4	3	4	4	4	2	3	3	3	5	3	3	16	1	90	CA
4	4	4	2	2	4	4	2	4	1	2	1	2	5	5	4	4	2	4	4	2	3	17	1	78	GB
5	2	4	4	4	5	3	0	4	3	5	4	4	4	4	5	3	4	4	4	4	4	34	1	90	GR
5	4	4	5	4	5	4	5	4	5	2	4	4	4	4	4	3	4	2	2	4	4	32	1	100	US
4	4	4	4	3	2	4	4	4	4	3	2	5	5	5	4	4	4	4	5	3	3	16	1	95	US
4	3	4	3	4	4	4	3	4	3	2	3	3	4	5	4	4	4	3	1	4	3	29	1	100	US
4	2	2	1	4	4	2	2	4	2	1	1	2	2	3	2	4	2	1	5	2	2	56	1	8	US
4	5	5	2	4	4	5	5	5	4	4	4	4	5	5	4	5	4	5	5	5	4	32	1	98	CA
3	3	3	3	4	4	3	2	3	3	2	2	2	4	4	3	3	2	2	4	1	3	35	2	80	AU
5	2	3	4	4	5	4	4	5	5	3	1	4	4	5	3	4	2	3	3	4	3	28	2	97	CA
3	3	1	5	5	5	4	2	4	5	5	5	5	5	5	5	3	3	5	5	4	4	15	1	92	US
4	4	5	3	4	4	4	3	5	2	1	1	1	4	4	1	1	1	2	1	1	1	28	1	90	US
3	1	4	5	5	4	3	5	4	4	5	4	4	5	2	1	2	4	5	5	5	4	18	1	100	AU
4	4	2	4	4	3	4	4	4	3	2	2	4	5	4	4	4	1	2	4	4	2	34	1	70	RS
4	4	4	2	4	5	5	4	3	4	4	4	2	5	4	3	3	3	4	4	4	4	33	1	90	GB
2	3	2	1	1	1	3	2	2	2	1	1	1	1	1	2	1	2	1	1	1	1	19	1	95	IN
5	3	3	5	5	5	3	4	4	4	5	5	5	4	5	3	5	3	5	5	5	5	19	1	95	IN
5	2	4	4	5	5	4	5	5	5	5	5	5	5	4	3	4	4	5	5	5	4	21	1	90	US
5	5	5	5	5	3	5	5	4	2	3	5	3	5	5	4	3	4	5	5	4	5	22	2	86	BR
5	1	1	5	5	5	4	5	3	5	5	5	5	4	4	4	5	4	5	5	5	5	27	1	100	US
3	3	4	4	2	3	2	2	4	2	1	1	1	4	2	2	1	1	1	1	1	1	22	2	90	US
5	5	5	5	3	5	5	5	4	2	3	2	3	5	5	5	5	5	5	5	3	4	26	2	80	CZ
3	5	1	3	5	5	5	3	5	1	3	1	5	5	5	3	4	3	3	3	5	1	32	2	95	PH
5	1	1	2	1	5	1	5	1	1	5	2	5	5	4	3	4	1	5	4	2	4	19	1	95	CA
2	1	4	5	4	5	2	4	5	2	5	5	5	5	5	5	5	4	4	4	5	4	19	1	80	US
2	2	4	3	3	4	3	1	5	1	1	1	1	4	4	4	3	1	2	3	2	1	18	2	93	US
5	2	4	5	5	5	4	5	5	5	5	5	5	5	3	1	5	5	5	5	5	5	30	1	100	US
3	3	1	3	2	4	3	3	4	1	3	2	3	5	4	5	3	2	3	4	2	2	22	1	80	DK
5	3	4	2	2	5	4	1	5	2	4	3	3	5	5	4	5	4	3	3	4	3	19	1	70	US
2	4	4	2	2	4	2	1	2	2	1	1	2	4	3	2	3	2	1	2	2	1	0	0	50	US
1	1	3	1	2	1	3	4	1	2	1	1	1	4	3	4	1	1	1	1	1	1	59	1	95	US
2	5	5	2	3	4	5	4	5	2	2	3	3	4	2	1	2	1	3	4	3	2	17	2	100	US
3	4	4	2	3	4	3	2	2	2	2	2	2	3	3	3	3	2	2	2	2	2	21	1	100	IN
2	4	4	3	4	5	4	2	3	4	1	1	1	5	2	1	1	1	2	3	3	1	21	2	90	LK
4	4	4	5	2	4	4	4	5	1	3	4	3	4	4	4	2	4	2	4	4	3	16	2	90	GB
